participant,blockID,trialID,condition,screenID,leftImage,rightImage,cue,congruency,correctObject,response,acc,rt
34,2,11,retro,retrieval,NA,NA,NA,incongruent,image78,image78,TRUE,7181.800000071526
34,2,11,retro,retrieval,NA,NA,NA,incongruent,image148,image368,FALSE,767.6000000238419
34,2,11,retro,retrieval,NA,NA,NA,incongruent,image234,image78,FALSE,2813.7999999523163
34,2,12,retro,memory,image390,image104,left,incongruent,NA,right,TRUE,1547.5
34,2,12,retro,memory,image273,image193,left,incongruent,NA,right,TRUE,1555.2000000476837
34,2,12,retro,memory,image40,image349,left,incongruent,NA,right,TRUE,1410.8000000715256
34,2,12,retro,retrieval,NA,NA,NA,incongruent,image273,image273,TRUE,2716.7999999523163
34,2,12,retro,retrieval,NA,NA,NA,incongruent,image40,image40,TRUE,683.1000000238419
34,2,12,retro,retrieval,NA,NA,NA,incongruent,image390,image193,FALSE,1789
34,2,13,retro,memory,image285,image166,left,incongruent,NA,right,TRUE,1207
34,2,13,retro,memory,image255,image59,right,congruent,NA,right,TRUE,1670.0999999046326
34,2,13,retro,memory,image22,image232,left,congruent,NA,left,TRUE,1761.5
34,2,13,retro,retrieval,NA,NA,NA,congruent,image59,image22,FALSE,5439.899999976158
34,2,13,retro,retrieval,NA,NA,NA,incongruent,image285,image285,TRUE,2444
34,2,13,retro,retrieval,NA,NA,NA,congruent,image22,image59,FALSE,728.8000000715256
34,2,14,retro,memory,image238,image115,left,incongruent,NA,right,TRUE,1583.7999999523163
34,2,14,retro,memory,image200,image191,right,incongruent,NA,NULL,FALSE,NA
34,2,14,retro,memory,image306,image413,left,congruent,NA,right,FALSE,1983.1999999284744
34,2,14,retro,retrieval,NA,NA,NA,incongruent,image238,image191,FALSE,3656.600000023842
34,2,14,retro,retrieval,NA,NA,NA,incongruent,image191,image200,FALSE,2653.5
34,2,14,retro,retrieval,NA,NA,NA,congruent,image306,image115,FALSE,2979.1999999284744
34,2,15,retro,memory,image179,image346,right,incongruent,NA,left,TRUE,1334.1999999284744
34,2,15,retro,memory,image86,image299,right,incongruent,NA,left,TRUE,1232.8999999761581
